"","site","date","NH4-N_mg/L","PO4-P_mg/L","DOC_mg/L","TDN_mg/L","DIN_N mg/L","DON_N mg/L","Cl_mg/L","SO4_mg/L","Br_mg/L","NO3-N_mg/L","Na_mg/L","K_mg/L","Mg_mg/L","Ca_mg/L"
"1","nhc",2021-04-13,0.005,0.005,3.554,0.2316,0.08808,0.14352,8.08296,4.97556,0.005,0.08308,6.12757,0.95949,3.40437,10.05896
"2","nhc",2021-04-20,0.005,0.005,2.299,0.3016,0.20735,0.09425,9.5714,5.36999,0.1081,0.20235,6.86046,0.91595,4.088,11.82359
"3","ecng",2021-04-21,0.0578,0.0136,5.434,0.4416,0.2338,0.2078,17.97,15.2,0.17,0.176,15.04,2.26,9.21,20.1
"4","ecgs",2021-04-21,0.0532,0.0164,6.847,1.609,1.0902,0.5188,41.11,39.62,0.19,1.037,45.05,9.89,8.4,13.77
"5","nhc",2021-04-27,0.0263,0.005,3.537,0.3271,0.2442,0.0829,9.29368,5.06784,0.11027,0.2179,6.79836,1.00266,3.88546,11.68836
"6","ecng",2021-04-29,0.114,0.0149,5.364,0.5557,0.3429,0.2128,15.65626,12.72947,0.22806,0.2289,13.67905,2.31299,7.6259,22.8689
"7","ecgs",2021-05-05,1.31,0.0877,8.201,2.1,1.97786,0.12214,28.82153,26.44309,0.23871,0.66786,33.33633,7.14727,5.22704,16.85348
"8","nhc",2021-05-05,-0.0502,0.005,2.409,0.378,0.23607,0.14193,10.51932,5.17609,0.1091,0.28627,7.23569,1.106,4.30586,11.73253
"9","ecng",2021-05-11,0.0792,0.0263,5.854,0.5873,0.34531,0.24199,17.57448,15.82224,0.24337,0.26611,16.27579,2.27559,8.1438,23.4753
"10","ecgs",2021-05-11,1.29,0.0459,7.014,3.515,3.11999,0.39501,46.73987,42.07785,0.30676,1.82999,52.85681,11.52123,5.99901,19.10343
"11","nhc",2021-05-11,0.005,0.005,2.471,0.2958,0.20132,0.09448,10.12799,4.80696,0.10428,0.19632,7.24067,1.13274,4.51676,11.92507
"12","ecng",2021-05-18,0.0722,0.0171,5.122,0.5502,0.29604,0.25416,19.30333,14.9337,0.24836,0.22384,17.4132,2.34804,8.65831,23.20659
"13","ecgs",2021-05-18,0.0447,0.0537,6.359,1.532,1.10781,0.42419,47.51106,42.94653,0.30077,1.06311,53.67025,10.63383,5.88321,19.99145
"14","nhc",2021-05-18,0.005,0.005,2.027,0.2744,0.19704,0.07736,10.43124,5.43696,0.11293,0.19204,7.57255,1.04295,4.36177,12.39625
"15","ecng",2021-05-25,0.0978,0.022,5.305,0.5763,0.33613,0.24017,13.08851,9.90187,0.17299,0.23833,11.89663,2.32636,5.69181,17.99309
"16","ecgs",2021-05-25,0.0356,0.086,6.714,1.505,0.97089,0.53411,47.86566,45.08106,0.30843,0.93529,56.4152,11.73802,5.35796,20.07631
"17","nhc",2021-05-25,0.0135,0.005,2.284,0.2896,0.1967,0.0929,10.25393,4.7688,0.12125,0.1832,7.59979,1.16038,4.50343,13.6562
"18","ecng",2021-06-01,0.0929,0.0293,5.741,0.5984,0.33708,0.26132,10.42206,10.6113,0.17632,0.24418,10.38751,2.46113,5.70514,18.21268
"19","ecgs",2021-06-01,0.0735,0.056,6.29,0.9691,0.45301,0.51609,45.9486,43.16653,0.27648,0.37951,52.86911,10.47467,5.25609,19.5689
"20","nhc",2021-06-01,0.005,0.005,2.451,0.2273,0.1289,0.0984,10.03044,4.61539,0.12125,0.1239,7.33558,1.17176,4.6608,13.45026
"21","ecng",2021-06-08,0.065,0.0288,5.615,0.5568,0.30203,0.25477,10.10016,10.2266,0.1705,0.23703,10.07555,2.42518,5.5217,17.79832
"22","ecgs",2021-06-08,0.207,0.0364,6.98,1.114,0.68482,0.42918,21.90494,25.82321,0.24337,0.47782,26.7717,6.21073,5.39676,24.01794
"23","nhc",2021-06-08,0.005,0.005,3.624,0.3458,0.20774,0.13806,9.53927,4.54375,0.10062,0.20274,7.14283,1.58565,4.0683,12.81954
"24","ecng",2021-06-15,0.0627,0.0358,5.715,0.5269,0.29914,0.22776,10.76203,9.56662,0.18148,0.23644,10.83714,2.40856,5.95305,19.21285
"25","ecgs",2021-06-15,0.0531,0.086,6.492,1.491,1.04896,0.44204,39.79918,39.98498,0.28513,0.99586,48.72634,9.8877,5.17114,19.27587
"26","nhc",2021-06-15,0.005,0.005,4.385,0.3691,0.20987,0.15923,9.81498,5.05304,0.11576,0.20487,7.42872,1.61185,4.20956,13.37086
"27","nhc",2021-07-01,0.005,0.005,3.5404,0.3907,0.25557,0.13513,9.94073,4.96088,0.13747,0.25057,7.29152,1.51373,4.02972,12.25035
"28","ecng",2021-07-06,0.053,0.0427,5.485,0.4044,0.23745,0.16695,9.14759,7.8527,0.16934,0.18445,8.83867,1.96141,4.32495,14.63949
"29","nhc",2021-07-06,0.005,0.005,3.33052,0.3023,0.1749,0.1274,8.52904,5.64227,0.13222,0.1699,6.32085,1.54802,4.00268,11.14341
"30","ecgs",2021-07-07,0.0347,0.0512,6.275,0.6729,0.37082,0.30208,23.67233,25.126,0.21278,0.33612,26.85872,5.76822,3.80476,15.72906
"31","ecng",2021-07-13,0.0469,0.0527,6.263,0.4944,0.26825,0.22615,7.84953,8.89821,0.16671,0.22135,8.46596,2.33027,4.26638,14.4747
"32","ecgs",2021-07-13,0.0529,0.0646,6.348,1.105,0.67304,0.43196,37.89767,43.14704,0.28273,0.62014,44.09118,8.37427,4.76731,17.99616
"33","nhc",2021-07-14,0.0147,0.012,5.86074,0.54911,0.35094,0.19817,6.91242,4.21782,0.005,0.33624,5.28787,1.67137,3.15113,9.93292
"34","ecng",2021-07-20,0.032,0.0553,6.528,0.506,0.209,0.297,4.96519,6.11761,0.13019,0.177,5.88094,2.23254,3.10047,11.79653
"35","ecgs",2021-07-20,0.972,0.0696,7.413,2.372,2.07939,0.29261,21.15408,25.11546,0.19631,1.10739,25.37877,6.24112,3.29178,14.18077
"36","nhc",2021-07-20,0.005,0.0249,8.91142,0.6166,0.2984,0.3182,4.5307,3.31476,0.005,0.2934,3.92898,1.81954,2.41579,7.55938
"37","ecng",2021-07-27,0.0587,0.0383,4.764,0.4331,0.25223,0.18087,10.73473,10.99625,0.19488,0.19353,11.0518,2.31884,6.24556,17.96722
"38","ecgs",2021-07-27,0.0358,0.0404,5.711,1.417,0.98104,0.43596,44.1538,44.13674,0.28583,0.94524,49.6225,9.54469,5.17,15.26744
"39","nhc",2021-07-27,0.005,0.005,4.69262,0.30758,0.10373,0.20385,8.34986,4.40866,0.13078,0.09873,6.26861,1.5961,3.8605,11.33981
"40","ecng",2021-08-03,0.028,0.0284,4.667,0.2899,0.16019,0.12971,15.12207,13.72377,0.24095,0.13219,14.62164,2.43273,7.20469,19.66092
"41","ecgs",2021-08-03,0.185,0.0481,6.061,1.408,0.98358,0.42442,48.37054,46.25195,0.33394,0.79858,55.24632,10.68989,4.64462,15.50438
"42","nhc",2021-08-03,0.0109,0.005,3.70894,0.23791,0.0815,0.15641,9.1161,4.44222,0.1457,0.0706,6.94493,1.60004,4.2391,11.84775
"43","ecng",2021-08-10,0.0504,0.0279,5.904,0.4513,0.24358,0.20772,9.05628,10.27466,0.16552,0.19318,8.51058,2.27707,4.29153,13.87302
"44","ecgs",2021-08-10,0.0436,0.0464,6.047,1.104,0.69773,0.40627,41.77867,44.71003,0.28965,0.65413,47.66891,9.64754,4.27016,16.51
"45","nhc",2021-08-10,0.0149,0.005,3.3973,0.23975,0.14115,0.0986,8.98215,4.48047,0.14403,0.12625,6.78769,1.60122,4.43288,11.32779
"46","ecgs",2021-08-24,0.44,0.272,7.218,2.697,2.3509,0.3461,41.22338,43.29065,0.28333,1.9109,49.44567,11.00397,4.11003,16.84179
"47","nhc",2021-08-24,0.005,0.0137,5.44204,0.40594,0.22798,0.17796,8.76003,5.63525,0.13496,0.22298,6.02867,2.19313,3.39015,11.40951
"48","ecng",2021-08-31,0.0604,0.0518,6.399,0.4207,0.23589,0.18481,9.58323,11.82828,0.18951,0.17549,11.37418,2.30702,4.84915,16.08869
"49","ecgs",2021-08-31,0.0357,0.0805,7.751,0.9974,0.46774,0.52966,50.0032,49.14846,0.3115,0.43204,58.5354,11.80789,4.40383,17.97301
"50","nhc",2021-08-31,0.0271,0.005,4.76682,0.29674,0.15044,0.1463,8.15065,6.33537,0.14344,0.12334,6.17204,1.97954,3.87455,12.54229
"51","ecng",2021-09-08,0.0346,0.0298,6.188,0.3204,0.0935,0.2269,8.33412,9.20573,0.16361,0.0589,9.05522,2.34209,4.59006,14.8762
"52","ecgs",2021-09-08,0.033,0.0754,7.168,1.261,0.70249,0.55851,51.96788,53.02257,0.32964,0.66949,60.70582,11.53952,4.55995,17.62095
"53","nhc",2021-09-08,0.0129,0.005,3.71318,0.23285,0.07423,0.15862,9.48591,7.33483,0.15394,0.06133,6.8421,2.1021,4.22918,13.4477
"54","ecng",2021-09-17,0.0379,0.0993,4.003,0.3036,0.16055,0.14305,11.41224,22.67517,0.005,0.12265,16.35596,2.508,4.15726,12.96204
"55","ecgs",2021-09-17,0.0456,0.175,8.629,1.121,0.4774,0.6436,49.01284,48.60951,0.33286,0.4318,57.03532,12.59881,4.96677,17.07739
"56","nhc",2021-09-17,0.005,0.005,3.28176,0.17814,0.04263,0.13551,12.01905,6.22025,0.15692,0.03763,7.85331,2.05047,4.47162,13.91823
"57","ecng",2021-10-04,0.0292,0.027,4.228,0.2549,0.08753,0.16737,9.37543,12.01678,0.18402,0.05833,10.3918,2.25776,4.75527,16.97495
"58","ecgs",2021-10-04,0.0306,0.0644,5.753,0.7322,0.27744,0.45476,47.00408,51.11537,0.32546,0.24684,56.15061,12.09478,4.3279,16.7447
"59","nhc",2021-10-08,0.005,0.005,3.87324,0.17353,0.02921,0.14432,9.94474,6.2222,0.15334,0.02421,7.19685,2.20534,4.24677,13.36821
"60","ecng",2021-10-15,0.0445,0.0378,5.279,0.381,0.1491,0.2319,9.43707,10.99985,0.005,0.1046,10.64516,2.66715,4.6005,16.84778
"61","ecgs",2021-10-15,0.0387,0.0425,7.774,2.017,1.48264,0.53436,46.91436,42.19004,0.38214,1.44394,53.29975,13.61305,4.68335,18.64105
"62","nhc",2021-10-15,0.0134,0.005,NA,NA,0.04641,NA,10.53344,7.402,0.18228,0.03301,6.73517,2.19198,4.32418,14.65187
"63","ecng",2021-10-22,0.031,0.0284,5.223,0.278,0.08772,0.19028,8.49918,7.42023,0.17744,0.05672,7.72217,2.38726,4.07002,15.22891
"64","ecgs",2021-10-22,0.0365,0.0488,7.46,1.764,1.24968,0.51432,47.99016,43.04611,0.3812,1.21318,55.54715,14.67241,4.60111,16.91013
"65","nhc",2021-10-22,0.005,0.005,NA,NA,0.04602,NA,11.64431,7.02657,0.18753,0.04102,7.29362,2.19564,4.6096,15.34947
"66","ecng",2021-11-05,0.0289,0.0125,5.683,0.2424,0.05791,0.18449,9.18876,9.40988,0.005,0.02901,8.25342,2.60043,4.73949,16.53975
"67","ecgs",2021-11-05,0.0353,0.0296,8.037,1.943,1.43929,0.50371,47.15252,43.28361,0.37514,1.40399,53.85986,15.1191,4.53692,18.41084
"68","nhc",2021-11-05,0.005,0.005,NA,NA,0.0075,NA,9.97106,5.32906,0.005,0.0025,6.25721,2.17083,4.04938,13.23203
"69","nhc",2021-11-12,0.0102,0.005,NA,NA,0.04275,NA,10.95444,5.73709,0.1652,0.03255,6.89588,2.24568,4.58032,14.35539
"70","ecng",2021-11-19,0.005,0.0195,6.063,0.1909,0.0075,0.1834,16.48239,16.63785,0.29189,0.0025,14.34337,3.2965,7.95562,23.74225
"71","ecgs",2021-11-19,0.0247,0.0196,7.735,2.351,1.84019,0.51081,50.47758,47.63593,0.36815,1.81549,57.31077,15.98888,4.62007,17.71172
"72","nhc",2021-11-19,0.005,0.005,NA,NA,0.0075,NA,11.38267,6.06194,0.005,0.0025,7.17816,2.37993,4.90018,15.07893
"73","ecng",2021-12-03,0.005,0.0286,6.232,0.1908,0.01676,0.17404,13.44591,14.91761,0.26029,0.01176,12.25084,2.97308,6.39604,20.22809
"74","ecgs",2021-12-03,0.0282,0.0133,7.446,2.711,2.24411,0.46689,46.92421,47.05407,0.3664,2.21591,55.18438,16.18008,4.45832,17.56042
"75","ecng",2021-12-10,0.005,0.0323,6.401,0.1963,0.0075,0.1888,14.71763,20.35821,0.64388,0.0025,16.22486,3.36061,3.39271,11.82844
"76","ecgs",2021-12-10,2.1,0.0247,9.428,6.004,5.48782,0.516179999999999,49.67302,52.92921,0.10073,3.38782,60.322,19.00394,4.42088,15.65253
"77","nhc",2021-12-10,0.005,0.005,3.006,0.1016,0.0244,0.0772,13.39083,7.52552,0.40731,0.0194,8.39013,2.27799,5.13339,14.31496
"78","ecng",2021-12-23,0.005,0.0337,6.127,0.3283,0.11398,0.21432,7.39703,10.05363,0.32684,0.10898,8.12088,2.54141,4.29277,14.3325
"79","ecgs",2021-12-23,0.0104,0.0254,7.025,2.393,1.8736,0.5194,35.98344,44.63001,0.0613,1.8632,44.22424,12.70084,5.1884,18.53103
"80","nhc",2021-12-23,0.005,0.005,3.297,0.1153,0.0075,0.1078,13.4062,8.82225,0.29224,0.0025,8.24288,2.24596,3.30706,9.20931
"81","ecng",2022-01-07,0.005,0.0231,6.97,0.5404,0.26608,0.27432,9.78419,12.61714,0.34776,0.26108,8.98536,2.53418,4.98221,15.84022
"82","ecgs",2022-01-07,0.0322,0.0133,7.783,3.059,2.64965,0.40935,32.76251,46.81819,0.51835,2.61745,37.77871,10.34035,5.07488,16.84939
"83","nhc",2022-01-07,0.005,0.0104,5.348,0.4888,0.30831,0.18049,9.63389,7.52475,0.2166,0.30331,6.00134,1.90144,3.62899,10.2098
"84","ecng",2022-01-14,0.005,0.0252,5.22,0.444,0.24079,0.20321,12.68772,14.52022,0.40087,0.23579,11.10064,2.31466,3.62806,14.02918
"85","ecgs",2022-01-14,0.0272,0.025,7.092,3.317,2.87193,0.44507,38.51008,45.68132,0.06613,2.84473,45.76036,11.73237,4.08455,14.92253
"86","nhc",2022-01-14,0.005,0.0102,5.024,0.3527,0.18,0.1727,10.8602,7.89035,0.26408,0.175,9.46286,1.18813,4.01681,11.6715
